learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
540000.0,35.4375,4.083749168785288E-5,540000.0,82.8,12.082519755875666,37.681159420289845,-2.9940119760479065,540000.0,2227928.0,619.0,310.0,310.0,36.0,0.0,0.0,1.0
550000.0,36.0625,4.124009726284485E-5,550000.0,81.0,4.2994721360358845,38.31168831168834,-4.395604395604337,550000.0,2490016.0,629.0,315.0,315.0,39.0,0.0,0.0,1.0
560000.0,36.6875,4.1699553613499216E-5,560000.0,83.2,2.1902399832326367,36.603773584905646,-3.0674846625766894,560000.0,2841624.0,643.0,322.0,322.0,42.0,0.0,0.0,1.0
570000.0,37.3125,4.2206570797134183E-5,570000.0,79.9,3.098906608558198,37.5776397515528,-1.0050251256281417,570000.0,3135776.0,653.0,327.0,327.0,46.0,0.0,0.0,1.0
580000.0,37.9375,4.274913475253722E-5,580000.0,81.69999999999999,1.3051450760436236,33.9350180505415,-2.2346368715083815,580000.0,3355624.0,661.0,331.0,331.0,48.0,0.0,0.0,1.0
590000.0,38.578125,4.334843219516591E-5,590000.0,82.89999999999999,5.839078434395747,37.5912408759124,-5.55555555555556,590000.0,3616104.0,671.0,336.0,336.0,51.0,0.0,0.0,1.0
600000.0,39.15625,4.39161981921643E-5,600000.0,82.1,0.6659267480577631,38.27586206896551,-2.285714285714287,600000.0,3796208.0,677.0,339.0,339.0,53.0,0.0,0.0,1.0
610000.0,39.84375,4.46397364915659E-5,610000.0,82.3,-0.5933301507195236,38.111888111888106,-1.7241379310344838,610000.0,4068096.0,689.0,345.0,345.0,56.0,0.0,0.0,1.0
620000.0,40.734375,4.5663919493866457E-5,620000.0,82.89999999999999,2.1089510201277846,35.95505617977527,-3.0120481927710863,620000.0,4445136.0,701.0,351.0,351.0,59.0,0.0,0.0,1.0
630000.0,41.578125,4.666933227175225E-5,630000.0,81.0,4.471728659486997,39.29712460063898,-1.6042780748662517,630000.0,4606096.0,713.0,357.0,357.0,61.0,0.0,0.0,1.0
640000.0,42.359375,4.76866825354389E-5,640000.0,82.0,10.404077609978982,34.30656934306568,-1.6949152542372892,640000.0,5033648.0,725.0,363.0,363.0,63.0,0.0,0.0,1.0
650000.0,43.21875,4.888559704542988E-5,650000.0,82.69999999999999,2.0340672284135395,36.861313868613124,-0.5813953488372097,650000.0,5392720.0,739.0,370.0,370.0,65.0,0.0,0.0,1.0
660000.0,43.984375,4.9996554217715226E-5,660000.0,83.8,0.252447509389829,37.931034482758605,-1.88679245283019,660000.0,5608976.0,749.0,375.0,375.0,67.0,0.0,0.0,1.0
670000.0,44.6875,5.1037091826502646E-5,670000.0,84.0,0.7505737857452599,39.393939393939384,-3.2258064516129052,670000.0,5720416.0,755.0,378.0,378.0,68.0,0.0,0.0,1.0
